model,formation_month,decile,stocks,overlap,one_way_turnover
ridge,2014-06,10,230,92,0.6
ridge,2014-07,10,230,67,0.7086956521739131
ridge,2014-08,10,230,79,0.6565217391304348
ridge,2014-09,10,230,69,0.7
ridge,2014-10,10,227,64,0.7180616740088106
ridge,2014-11,10,227,98,0.5682819383259912
ridge,2014-12,10,229,106,0.537117903930131
ridge,2015-01,10,231,80,0.6536796536796536
ridge,2015-02,10,229,101,0.5589519650655022
ridge,2015-03,10,230,79,0.6565217391304348
ridge,2015-04,10,229,70,0.6943231441048034
ridge,2015-05,10,224,71,0.6830357142857143
ridge,2015-06,10,222,56,0.7477477477477478
ridge,2015-07,10,213,61,0.7136150234741784
ridge,2015-08,10,214,69,0.677570093457944
ridge,2015-09,10,214,67,0.6869158878504673
ridge,2015-10,10,219,71,0.6757990867579908
ridge,2015-11,10,228,79,0.6535087719298245
ridge,2015-12,10,237,57,0.759493670886076
ridge,2016-01,10,240,93,0.6125
ridge,2016-02,10,240,102,0.575
ridge,2016-03,10,245,85,0.653061224489796
ridge,2016-04,10,246,62,0.7479674796747968
ridge,2016-05,10,247,70,0.7165991902834008
ridge,2016-06,10,251,97,0.6135458167330677
ridge,2016-07,10,255,75,0.7058823529411764
ridge,2016-08,10,257,103,0.5992217898832685
ridge,2016-09,10,258,100,0.6124031007751938
ridge,2016-10,10,257,97,0.622568093385214
ridge,2016-11,10,260,90,0.6538461538461539
ridge,2016-12,10,262,105,0.5992366412213741
ridge,2017-01,10,262,143,0.4541984732824428
ridge,2017-02,10,261,129,0.5057471264367817
ridge,2017-03,10,264,98,0.6287878787878788
